ZipCode,ZORI_forecast_1m,ZORI_forecast_3m,Data_Points,RegionID,City,Metro,State
1970,2630.49,2657.23,133,58570,Salem,"Boston-Cambridge-Newton, MA-NH",MA
2108,3319.47,3360.24,133,58622,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2113,3201.29,3227.59,133,58627,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2114,3670.55,3724.88,133,58628,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2115,4108.1,4101.27,133,58629,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2116,3439.24,3459.32,133,58630,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2118,4057.09,4032.97,133,58632,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2120,5509.46,5506.35,133,58634,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2125,3202.8,3225.79,133,58639,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2127,3609.95,3636.1,133,58641,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2128,3045.94,3064.88,133,58642,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2129,3386.18,3371.41,133,58643,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2130,3138.02,3159.34,133,58644,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2134,3649.57,3658.12,133,58648,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2135,3045.5,3045.7,133,58649,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2138,3009.01,3039.96,133,58652,Cambridge,"Boston-Cambridge-Newton, MA-NH",MA
2139,3234.26,3302.02,133,58653,Cambridge,"Boston-Cambridge-Newton, MA-NH",MA
2141,3320.53,3349.43,133,58655,Cambridge,"Boston-Cambridge-Newton, MA-NH",MA
2143,2909.75,2953.37,133,58657,Somerville,"Boston-Cambridge-Newton, MA-NH",MA
2144,3384.1,3503.12,133,58658,Somerville,"Boston-Cambridge-Newton, MA-NH",MA
2145,3364.05,3405.76,133,58659,Somerville,"Boston-Cambridge-Newton, MA-NH",MA
2148,2619.86,2635.77,133,58660,Malden,"Boston-Cambridge-Newton, MA-NH",MA
2151,2771.78,2780.7,133,58663,Revere,"Boston-Cambridge-Newton, MA-NH",MA
2155,3251.39,3284.2,133,58666,Medford,"Boston-Cambridge-Newton, MA-NH",MA
2169,2669.81,2694.34,133,58669,Quincy,"Boston-Cambridge-Newton, MA-NH",MA
2171,2780.63,2796.61,133,58671,Quincy,"Boston-Cambridge-Newton, MA-NH",MA
2215,3513.95,3549.24,133,58695,Boston,"Boston-Cambridge-Newton, MA-NH",MA
2445,4391.74,4383.06,133,58757,Brookline,"Boston-Cambridge-Newton, MA-NH",MA
2446,4847.07,4864.45,133,58758,Brookline,"Boston-Cambridge-Newton, MA-NH",MA
2453,3050.6,3086.46,133,58762,Waltham,"Boston-Cambridge-Newton, MA-NH",MA
2472,2962.61,2960.88,133,58778,Watertown,"Boston-Cambridge-Newton, MA-NH",MA
2474,2565.57,2578.25,133,58779,Arlington,"Boston-Cambridge-Newton, MA-NH",MA
